_id,date,user_count
1793,2021-12-31,10470
1794,2022-01-01,10588
1795,2022-01-02,11479
1796,2022-01-03,13556
1797,2022-01-04,12855
1798,2022-01-05,11948
1799,2022-01-06,11008
1800,2022-01-07,10352
1801,2022-01-08,10857
1802,2022-01-09,11017
1803,2022-01-10,13177
1804,2022-01-11,11041
1805,2022-01-12,11712
1806,2022-01-13,10958
1807,2022-01-14,10593
1808,2022-01-15,11725
1809,2022-01-16,10386
1810,2022-01-17,11305
1811,2022-01-18,12879
1812,2022-01-19,11540
1813,2022-01-20,11618
1814,2022-01-21,11693
1815,2022-01-22,10337
1816,2022-01-23,10918
1817,2022-01-24,12940
1818,2022-01-25,12321
1819,2022-01-26,12292
1820,2022-01-27,11214
1821,2022-01-28,11813
1822,2022-01-29,10220
1823,2022-01-30,10672
1824,2022-01-31,12563
1825,2022-02-01,12343
1826,2022-02-02,11985
1827,2022-02-03,11037
1828,2022-02-04,10155
1829,2022-02-05,10771
1830,2022-02-06,10758
1831,2022-02-07,12744
1832,2022-02-08,12381
1833,2022-02-09,11657
1834,2022-02-10,11035
1835,2022-02-11,11849
1836,2022-02-12,10005
1837,2022-02-13,10175
1838,2022-02-14,11907
1839,2022-02-15,12205
1840,2022-02-16,11543
1841,2022-02-17,11041
1842,2022-02-18,10474
1843,2022-02-19,10818
1844,2022-02-20,10317
1845,2022-02-21,10751
1846,2022-02-22,13236
1847,2022-02-23,11939
1848,2022-02-24,10631
1849,2022-02-25,10086
1850,2022-02-26,10547
1851,2022-02-27,10889
1852,2022-02-28,13042
1853,2022-03-01,12956
1854,2022-03-02,12355
1855,2022-03-03,10939
1856,2022-03-04,11152
1857,2022-03-05,10872
1858,2022-03-06,10864
1859,2022-03-07,12905
1860,2022-03-08,12338
1861,2022-03-09,11417
1862,2022-03-10,10954
1863,2022-03-11,10408
1864,2022-03-12,11256
1865,2022-03-13,10565
1866,2022-03-14,12745
1867,2022-03-15,11476
1868,2022-03-16,11364
1869,2022-03-17,10428
1870,2022-03-18,10823
1871,2022-03-19,10406
1872,2022-03-20,10459
1873,2022-03-21,12879
1874,2022-03-22,12452
1875,2022-03-23,11989
1876,2022-03-24,10873
1877,2022-03-25,11367
1878,2022-03-26,10822
1879,2022-03-27,8663
1880,2022-03-28,12828
1881,2022-03-29,12682
1882,2022-03-30,12066
1883,2022-03-31,11387
1884,2022-04-01,10853
1885,2022-04-02,10647
1886,2022-04-03,10785
1887,2022-04-04,12697
1888,2022-04-05,12160
1889,2022-04-06,11765
1890,2022-04-07,10815
1891,2022-04-08,11194
1892,2022-04-09,10824
1893,2022-04-10,10487
1894,2022-04-11,12530
1895,2022-04-12,12416
1896,2022-04-13,12186
1897,2022-04-14,11444
1898,2022-04-15,9980
1899,2022-04-16,10970
1900,2022-04-17,9491
1901,2022-04-18,10239
1902,2022-04-19,12588
1903,2022-04-20,11724
1904,2022-04-21,10721
1905,2022-04-22,10730
1906,2022-04-23,10546
1907,2022-04-24,10770
1908,2022-04-25,13044
1909,2022-04-26,12613
1910,2022-04-27,12069
1911,2022-04-28,10942
1912,2022-04-29,10932
1913,2022-04-30,10423
1914,2022-05-01,10360
1915,2022-05-02,12696
1916,2022-05-03,12205
1917,2022-05-04,11946
1918,2022-05-05,10612
1919,2022-05-06,10432
1920,2022-05-07,10862
1921,2022-05-08,10195
1922,2022-05-09,12676
1923,2022-05-10,12385
1924,2022-05-11,11793
1925,2022-05-12,10914
1926,2022-05-13,11059
1927,2022-05-14,9841
1928,2022-05-15,10190
1929,2022-05-16,12559
1930,2022-05-17,12269
1931,2022-05-18,11755
1932,2022-05-19,10779
1933,2022-05-20,11093
1934,2022-05-21,10030
1935,2022-05-22,10418
1936,2022-05-23,12684
1937,2022-05-24,12141
1938,2022-05-25,11643
1939,2022-05-26,10808
1940,2022-05-27,14364
1941,2022-05-28,11154
1942,2022-05-29,9369
1943,2022-05-30,10635
1944,2022-05-31,13320
1945,2022-06-01,12596
1946,2022-06-02,11462
1947,2022-06-03,11635
1948,2022-06-04,10381
1949,2022-06-05,10824
1950,2022-06-06,12846
1951,2022-06-07,12399
1952,2022-06-08,11955
1953,2022-06-09,11498
1954,2022-06-10,11174
1955,2022-06-11,10547
1956,2022-06-12,10888
1957,2022-06-13,12925
1958,2022-06-14,12522
1959,2022-06-15,11887
1960,2022-06-16,10953
1961,2022-06-17,10801
1962,2022-06-18,10959
1963,2022-06-19,10175
1964,2022-06-20,11569
1965,2022-06-21,13414
1966,2022-06-22,12541
1967,2022-06-23,11888
1968,2022-06-24,11596
1969,2022-06-25,10855
1970,2022-06-26,11198
1971,2022-06-27,13121
1972,2022-06-28,12862
1973,2022-06-29,13316
1974,2022-06-30,11483
1975,2022-07-01,11465
1976,2022-07-02,12478
1977,2022-07-03,9766
1978,2022-07-04,10623
1979,2022-07-05,14268
1980,2022-07-06,13233
1981,2022-07-07,12152
1982,2022-07-08,11519
1983,2022-07-09,11584
1984,2022-07-10,12032
1985,2022-07-11,13733
1986,2022-07-12,12989
1987,2022-07-13,12977
1988,2022-07-14,11932
1989,2022-07-15,12162
1990,2022-07-16,11771
1991,2022-07-17,11430
1992,2022-07-18,13902
1993,2022-07-19,13404
1994,2022-07-20,12642
1995,2022-07-21,11713
1996,2022-07-22,11328
1997,2022-07-23,11754
1998,2022-07-24,11714
1999,2022-07-25,14142
2000,2022-07-26,13718
2001,2022-07-27,13381
2002,2022-07-28,12016
2003,2022-07-29,12155
2004,2022-07-30,11903
2005,2022-07-31,12091
2006,2022-08-01,14713
2007,2022-08-02,13760
2008,2022-08-03,13119
2009,2022-08-04,11741
2010,2022-08-05,12681
2011,2022-08-06,12079
2012,2022-08-07,12177
2013,2022-08-08,13965
2014,2022-08-09,13615
2015,2022-08-10,13159
2016,2022-08-11,12097
2017,2022-08-12,12018
2018,2022-08-13,11762
2019,2022-08-14,11938
2020,2022-08-15,14120
2021,2022-08-16,13772
2022,2022-08-17,13103
2023,2022-08-18,12010
2024,2022-08-19,12692
2025,2022-08-20,11558
2026,2022-08-21,12566
2027,2022-08-22,14123
2028,2022-08-23,13689
2029,2022-08-24,13571
2030,2022-08-25,12253
2031,2022-08-26,12526
2032,2022-08-27,11725
2033,2022-08-28,12165
